"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50107","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.8","HIGH","0.4","3.4","45","12.0","4.1","7.7","1.7","9.4","6","5.5","0.6","42","3158","113","163","44.0","0.01","1.8","2.1","0.06","6.2","7.5","10.99","0.53","1.24","2.89","0.13","0.46","1.66","38.2","12.8","49.9","54.39","27.5","38.2","10.6","6.79","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50108","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.7","HIGH","0.5","6.7","59","8.6","4.2","4.3","2.2","6.5","15","11.3","3.6","56","2857","122","179","20.7","0.02","2.3","4.1","0.08","9.5","11.3","14.16","0.95","1.89","2.31","1.20","2.35","2.28","30.3","28.8","67.2","64.15","15.4","30.3","14.8","9.48","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50109","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.6","HIGH","0.3","3.8","49","11.1","4.1","6.2","1.6","7.8","7","5.8","1.2","44","3051","111","152","36.9","0.02","1.8","2.2","0.08","6.3","7.8","11.85","0.59","1.28","2.83","0.28","0.91","1.77","32.7","14.0","52.9","52.84","22.4","32.7","10.3","6.60","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50110","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.4","HIGH","0.4","5.3","60","11.6","4.6","7.2","1.4","8.7","6","4.6","1.0","39","3114","122","162","30.8","0.05","1.7","2.5","0.08","6.7","8.8","12.94","0.66","1.64","2.99","0.26","0.71","2.19","37.0","11.3","46.9","51.57","26.0","37.0","11.1","7.09","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50111","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","5.8","57","9.8","5.1","4.8","1.3","6.1","17","13.1","3.7","57","2774","113","173","23.9","0.03","2.2","4.0","0.08","9.7","10.1","11.15","1.11","2.08","3.05","1.11","2.54","2.24","29.3","32.7","68.2","65.60","17.1","29.3","12.2","7.81","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50112","N/A","10/12/2020","10/17/2020","12","24","8.6","","1.0","HIGH","0.4","3.3","49","26.9","2.6","22.4","1.2","23.6","10","8.0","1.9","38","3015","116","202","44.2","0.01","1.5","2.4","0.15","6.0","6.7","18.73","0.11","0.70","1.92","0.38","1.51","1.57","87.6","19.2","46.0","86.57","80.6","87.6","7.0","4.48","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50113","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.9","HIGH","0.4","2.7","50","30.5","4.3","26.4","1.3","27.7","7","5.1","1.5","35","3025","122","236","26.6","0.01","1.3","2.1","0.12","6.0","5.4","11.68","0.16","0.92","3.37","0.24","1.25","1.70","103.0","12.2","41.7","91.51","95.0","103.0","7.9","5.08","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50114","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.6","HIGH","0.6","6.1","64","10.0","2.7","6.9","1.2","8.1","14","11.0","2.8","62","2890","127","227","33.5","0.03","2.5","3.6","0.09","10.0","9.5","23.45","0.38","1.04","1.70","0.80","2.01","2.17","32.9","27.1","74.9","69.07","24.7","32.9","8.2","5.23","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50115","N/A","10/12/2020","10/17/2020","12","24","8.6","","1.0","HIGH","0.4","3.7","47","26.9","3.8","22.9","1.6","24.5","8","5.8","2.0","41","3080","112","206","54.3","0.01","1.5","2.1","0.10","5.8","7.8","12.58","0.16","1.18","2.58","0.47","1.53","1.69","92.5","14.4","49.1","89.37","82.4","92.5","10.1","6.47","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50116","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.2","HIGH","0.4","4.1","45","38.5","4.5","32.6","1.1","33.7","5","4.9","0.5","32","3123","112","228","26.9","0.01","1.7","2.0","0.05","6.1","9.1","10.05","0.13","1.63","2.85","0.13","0.35","1.76","127.3","11.5","38.3","105.11","117.4","127.3","9.9","6.36","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50117","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.9","HIGH","0.6","7.2","65","11.3","3.7","6.1","1.3","7.4","15","12.6","2.5","60","2745","128","200","25.7","0.01","2.8","4.2","0.10","11.4","11.1","17.55","0.49","1.64","2.06","0.84","1.68","2.39","32.6","30.9","71.9","68.83","22.0","32.6","10.6","6.78","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50118","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.0","HIGH","0.5","4.3","51","17.6","4.2","13.2","1.2","14.4","4","3.8","0.7","34","3032","139","246","36.6","0.01","2.2","1.9","0.07","6.9","8.5","12.15","0.31","1.42","2.76","0.18","0.52","1.86","56.9","9.1","41.3","60.58","47.5","56.9","9.3","5.98","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50119","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.4","HIGH","0.8","3.6","50","34.9","5.2","29.7","0.9","30.6","3","2.3","0.6","22","3235","186","349","55.6","0.01","1.6","1.0","0.05","6.1","7.2","9.71","0.17","1.48","3.69","0.13","0.47","1.88","115.4","5.5","26.9","89.46","106.9","115.4","8.5","5.42","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50120","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.7","HIGH","0.7","7.8","76","10.2","3.9","5.4","1.3","6.7","16","12.9","2.8","62","2738","127","194","31.7","0.03","2.8","5.7","0.09","13.4","10.2","19.68","0.61","1.59","2.30","0.85","1.93","2.70","29.7","31.6","74.0","68.30","19.3","29.7","10.3","6.60","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50121","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.8","HIGH","0.7","7.1","59","8.9","4.8","3.6","1.1","4.7","6","4.7","1.0","40","3046","144","236","26.3","0.02","1.6","2.6","0.07","8.1","12.1","12.17","1.19","2.33","2.50","0.34","0.60","2.37","25.3","11.7","47.5","44.45","12.9","25.3","12.4","7.93","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50122","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.3","HIGH","0.9","3.8","52","13.9","1.2","11.3","0.8","12.1","3","2.3","1.1","20","3238","182","316","56.8","0.01","1.5","0.9","0.07","5.3","7.3","42.76","0.10","0.36","0.86","0.23","0.83","1.54","44.8","5.8","23.8","42.85","40.7","44.8","4.1","2.65","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50123","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.9","HIGH","0.6","5.1","52","8.8","3.3","5.8","1.3","7.0","17","13.1","3.5","52","2747","135","213","29.5","0.02","2.8","4.4","0.12","13.5","9.8","15.94","0.59","1.28","1.98","1.02","2.45","1.88","29.9","32.5","62.6","63.13","20.8","29.9","9.1","5.83","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50124","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.6","HIGH","0.6","4.9","49","5.5","1.9","3.1","1.1","4.2","4","3.3","0.5","27","3060","133","197","22.8","0.02","1.9","1.7","0.10","7.4","10.0","26.53","0.51","0.74","1.11","0.15","0.35","1.65","17.9","8.0","32.0","30.56","11.3","17.9","6.6","4.21","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50125","N/A","10/12/2020","10/17/2020","24","36","8.6","","1.1","HIGH","0.7","4.2","47","13.3","3.0","9.8","1.0","10.8","3","2.6","0.4","23","3110","171","309","54.9","0.01","1.5","0.9","0.07","6.0","9.0","15.56","0.29","1.08","1.94","0.11","0.30","1.66","42.7","6.3","27.7","43.61","35.4","42.7","7.3","4.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50126","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.7","HIGH","0.5","4.9","48","6.6","2.8","3.3","1.2","4.5","15","11.9","3.4","49","2759","132","175","22.6","0.01","2.5","4.5","0.10","12.5","10.2","16.93","0.75","1.16","1.67","1.04","2.35","1.73","20.2","29.8","58.5","53.78","11.9","20.2","8.3","5.34","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50127","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.7","HIGH","0.5","3.9","49","5.2","2.0","2.6","1.0","3.6","4","3.8","0.7","30","3236","152","187","23.2","0.02","2.2","2.2","0.07","7.5","8.0","24.40","0.64","0.64","1.37","0.16","0.50","1.57","15.3","9.0","36.4","31.50","9.3","15.3","5.9","3.80","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50128","N/A","10/12/2020","10/17/2020","24","36","8.7","","1.0","HIGH","0.7","3.1","51","6.6","1.6","4.5","1.6","6.1","3","2.6","0.4","23","3102","171","240","34.8","0.02","1.4","1.4","0.08","4.7","6.1","32.49","0.31","0.38","1.17","0.08","0.36","1.48","23.2","6.2","28.1","31.30","16.2","23.2","7.0","4.47","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50129","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.7","HIGH","0.6","6.3","54","9.4","2.6","5.3","2.1","7.3","20","16.8","3.5","52","2705","129","157","21.1","0.02","3.0","5.1","0.14","13.5","11.7","20.50","0.39","1.23","1.41","1.21","2.26","1.97","30.8","41.4","62.6","67.18","18.9","30.8","11.8","7.58","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50130","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.5","HIGH","0.4","4.1","44","5.5","1.8","3.1","1.6","4.6","12","8.3","3.6","37","2862","121","145","19.8","0.02","2.1","3.4","0.10","9.1","9.3","24.92","0.48","0.66","1.11","1.01","2.62","1.47","19.0","21.5","44.3","42.68","11.1","19.0","8.0","5.09","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50131","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.6","HIGH","0.4","3.6","47","4.4","2.1","1.6","1.1","2.7","10","7.0","2.6","30","2924","121","154","21.6","0.02","2.1","2.8","0.08","8.8","7.7","22.15","0.92","0.65","1.47","0.59","1.97","1.51","12.1","17.5","35.6","32.39","5.8","12.1","6.3","4.05","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50132","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","5.3","46","7.8","2.6","5.0","1.2","6.2","22","17.8","3.9","52","2773","135","187","21.0","0.02","2.8","5.1","0.11","14.0","11.5","17.47","0.51","1.21","1.42","1.33","2.53","1.72","26.6","44.0","62.9","65.63","18.0","26.6","8.6","5.51","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50133","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.4","6.3","41","9.6","1.5","7.1","1.1","8.1","10","7.8","2.1","39","2841","122","150","25.6","0.04","1.9","2.9","0.11","8.8","15.4","26.76","0.19","0.94","0.58","0.99","1.15","1.60","32.6","20.2","46.5","51.96","25.4","32.6","7.2","4.61","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50134","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.6","HIGH","0.4","3.3","39","12.8","1.4","11.0","1.2","12.2","6","5.1","0.7","33","2955","120","171","39.1","0.05","1.8","2.5","0.08","8.0","8.5","27.76","0.12","0.48","0.92","0.18","0.54","1.25","45.5","12.1","39.6","53.64","39.6","45.5","5.9","3.77","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50135","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.6","5.5","48","12.7","2.5","8.7","1.4","10.1","20","15.8","4.6","54","2698","133","176","20.2","0.02","2.5","5.2","0.13","13.2","11.5","19.05","0.25","1.15","1.35","1.59","3.00","1.76","40.5","40.0","64.3","73.67","31.3","40.5","9.2","5.86","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50136","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.4","4.6","46","12.0","2.0","8.5","1.5","10.0","8","6.6","1.6","41","2865","132","158","26.1","0.01","2.2","3.3","0.13","9.2","10.1","22.60","0.20","0.81","1.21","0.48","1.11","1.58","39.0","16.3","48.9","55.71","30.7","39.0","8.3","5.29","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50137","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.6","HIGH","0.4","3.3","44","7.4","1.6","4.5","2.1","6.6","6","5.3","1.0","38","3033","126","174","28.2","0.01","1.9","2.1","0.08","7.7","7.5","26.72","0.29","0.49","1.15","0.22","0.74","1.37","25.5","12.8","45.7","44.14","16.3","25.5","9.2","5.91","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50138","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.8","HIGH","0.6","6.0","51","9.8","3.6","5.2","1.6","6.7","19","14.1","4.4","51","2742","130","179","22.7","0.02","2.5","4.7","0.09","12.6","11.7","14.31","0.58","1.68","1.91","1.55","2.87","1.98","30.3","36.0","61.1","63.95","18.7","30.3","11.6","7.43","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50139","N/A","10/12/2020","10/17/2020","12","24","8.5","","0.9","HIGH","0.8","4.5","44","15.1","1.8","12.3","0.9","13.2","4","2.8","1.0","26","3033","164","276","45.5","0.01","1.8","1.2","0.09","8.2","10.2","24.16","0.14","0.75","1.09","0.30","0.68","1.52","50.3","7.2","30.7","50.37","44.3","50.3","6.0","3.87","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50140","N/A","10/12/2020","10/17/2020","24","36","8.4","","1.3","HIGH","0.8","4.5","38","31.0","1.9","27.2","1.2","28.4","3","2.6","0.1","21","3123","170","287","34.7","0.01","1.3","0.8","0.01","5.8","12.0","19.90","0.06","0.90","0.98","0.05","0.08","1.39","105.4","6.0","24.9","82.21","97.9","105.4","7.4","4.76","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50141","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","6.3","46","9.5","3.2","5.6","1.5","7.1","20","16.1","3.8","51","2751","136","188","25.5","0.04","2.5","5.2","0.14","13.5","13.7","14.57","0.50","1.73","1.44","1.54","2.22","1.87","31.8","40.6","61.2","66.73","20.0","31.8","11.7","7.51","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50142","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.8","HIGH","0.6","7.0","48","19.3","1.8","16.6","1.4","18.0","4","3.6","0.7","33","3051","152","221","32.2","0.01","1.8","2.1","0.09","7.5","14.6","26.30","0.10","1.06","0.75","0.30","0.38","1.84","68.6","9.0","40.0","67.41","59.8","68.6","8.8","5.66","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50143","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.7","4.1","39","20.5","2.9","17.1","1.2","18.3","4","2.8","0.9","23","3170","171","272","52.3","0.01","1.4","1.2","0.08","5.0","10.6","13.20","0.17","1.24","1.70","0.29","0.64","1.48","70.5","7.2","27.6","61.74","61.6","70.5","8.9","5.72","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50144","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.5","HIGH","0.6","6.2","46","9.6","3.3","5.4","1.4","6.8","17","13.4","3.4","53","2799","136","182","23.4","0.01","2.8","4.7","0.11","12.4","13.4","14.05","0.52","1.77","1.52","1.36","2.02","1.87","30.8","34.0","64.0","64.99","19.3","30.8","11.5","7.36","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50145","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.9","HIGH","0.6","6.4","42","17.7","1.3","14.5","1.0","15.5","4","3.1","0.7","28","3119","142","224","29.1","0.01","1.5","1.7","0.09","5.7","15.1","32.23","0.08","0.79","0.52","0.33","0.39","1.62","58.5","7.9","33.6","57.31","52.2","58.5","6.3","4.02","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50146","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.1","HIGH","0.7","4.3","43","23.0","1.8","18.6","1.4","20.0","3","2.7","0.8","21","3060","171","297","51.5","0.01","1.3","1.1","0.04","4.6","10.1","24.38","0.08","0.71","1.05","0.23","0.54","1.46","74.4","6.8","24.8","62.65","67.0","74.4","7.4","4.76","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50147","N/A","10/12/2020","10/17/2020","0","12","8.8","","0.7","HIGH","0.6","7.0","52","10.0","4.0","4.6","2.7","7.2","16","13.1","2.9","55","2750","136","210","26.1","0.02","2.8","4.3","0.11","14.0","13.6","12.74","0.68","2.20","1.84","1.18","1.71","2.13","33.9","32.8","65.9","67.47","16.4","33.9","17.5","11.22","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50148","N/A","10/12/2020","10/17/2020","12","24","8.4","","1.5","HIGH","0.8","4.5","40","32.2","2.8","28.9","0.9","29.8","3","2.6","0.4","18","3031","184","348","52.5","0.01","1.3","0.9","0.06","6.3","11.3","14.32","0.09","1.26","1.51","0.13","0.25","1.52","111.8","6.2","21.9","84.87","104.0","111.8","7.8","4.96","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50149","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.7","5.4","38","10.6","2.8","7.2","1.0","8.1","5","4.0","0.9","29","2997","154","259","40.0","0.01","2.2","1.4","0.06","8.4","14.1","13.78","0.36","1.57","1.21","0.36","0.49","1.58","34.9","10.0","34.8","43.60","25.8","34.9","9.1","5.79","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50150","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.6","7.7","42","7.4","2.4","4.4","1.5","5.9","15","12.5","2.5","50","2687","133","175","24.8","0.03","2.8","4.8","0.12","13.6","18.2","17.78","0.48","1.73","0.65","1.38","1.15","1.86","27.3","31.9","60.5","60.20","15.8","27.3","11.5","7.38","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50151","N/A","10/12/2020","10/17/2020","12","24","8.7","","0.7","HIGH","0.4","5.6","38","7.5","2.2","4.7","1.1","5.8","7","6.4","1.1","34","2874","130","173","21.8","0.01","2.0","2.4","0.09","9.0","14.7","17.53","0.41","1.28","0.90","0.47","0.60","1.54","25.5","15.8","40.3","42.61","17.0","25.5","8.6","5.48","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50152","N/A","10/12/2020","10/17/2020","24","36","8.7","","0.9","HIGH","0.5","4.1","35","11.6","1.5","9.5","1.0","10.6","3","2.7","0.8","22","3184","145","201","41.2","0.01","1.4","1.2","0.09","5.9","11.7","22.97","0.15","0.71","0.81","0.28","0.51","1.26","40.6","6.8","26.0","41.62","34.3","40.6","6.3","4.02","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50153","N/A","10/12/2020","10/17/2020","0","12","8.7","","0.7","HIGH","0.6","7.7","37","6.9","3.0","3.4","1.2","4.6","21","18.3","2.9","57","2690","129","157","20.8","0.01","3.0","4.9","0.13","13.9","20.7","12.46","0.76","2.47","0.52","1.83","1.12","1.81","25.5","46.3","68.5","68.63","12.4","25.5","13.2","8.42","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50154","N/A","10/12/2020","10/17/2020","12","24","8.8","","0.5","HIGH","0.4","5.4","39","5.0","2.6","1.9","1.0","3.0","17","14.3","2.5","42","2689","122","141","18.7","0.02","2.7","3.6","0.13","11.3","14.0","15.10","1.06","1.43","1.13","1.05","1.45","1.57","15.8","35.3","50.5","49.13","7.0","15.8","8.9","5.69","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50155","N/A","10/12/2020","10/17/2020","24","36","8.8","","0.6","HIGH","0.3","3.1","33","6.5","1.2","4.6","1.1","5.7","9","8.7","0.8","39","2867","121","157","24.6","0.01","2.3","1.9","0.11","10.2","9.4","26.64","0.24","0.47","0.77","0.23","0.60","1.09","22.2","20.4","46.9","45.67","16.5","22.2","5.7","3.68","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50156","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.7","6.7","44","8.8","2.4","5.8","1.5","7.2","13","10.3","2.2","52","2762","134","195","28.4","0.02","2.9","4.8","0.13","12.7","15.3","18.22","0.37","1.47","0.94","1.02","1.20","1.79","31.2","26.0","62.0","61.15","20.7","31.2","10.5","6.73","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50157","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.5","HIGH","0.7","4.6","33","47.7","3.4","43.6","1.3","44.9","3","3.3","0.1","29","3181","164","246","46.0","0.01","1.9","1.2","0.07","5.8","13.8","9.90","0.08","1.86","1.51","0.04","0.06","1.46","168.4","7.7","34.7","128.11","157.0","168.4","11.4","7.32","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50158","N/A","10/12/2020","10/17/2020","0","12","8.4","","1.2","HIGH","0.7","8.6","39","17.3","3.9","12.7","1.4","14.1","15","12.6","2.7","52","2743","126","205","34.6","0.01","2.7","3.9","0.10","12.0","21.9","10.07","0.29","3.41","0.48","1.75","0.91","2.03","63.1","33.0","62.1","84.30","45.7","63.1","17.4","11.14","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50159","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.7","HIGH","0.6","6.3","30","41.2","2.6","38.1","1.0","39.1","4","3.4","0.9","24","2913","162","346","63.7","0.01","2.1","1.2","0.13","8.4","21.0","11.64","0.07","2.16","0.41","0.59","0.34","1.49","148.4","9.2","28.7","112.91","137.2","148.4","11.2","7.19","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50160","N/A","10/12/2020","10/17/2020","24","36","8.2","","2.0","HIGH","0.7","4.7","32","32.6","3.1","29.2","0.8","30.0","3","2.2","0.3","15","3010","198","427","82.0","0.02","1.4","0.6","0.05","6.2","14.6","10.26","0.11","1.83","1.31","0.14","0.18","1.43","114.5","5.3","17.8","84.26","105.1","114.5","9.4","6.02","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50161","N/A","10/12/2020","10/17/2020","0","12","8.5","","0.8","HIGH","0.6","5.4","75","10.5","5.6","4.7","0.9","5.6","19","16.6","2.3","52","2628","124","172","21.7","0.02","3.4","4.1","0.10","14.3","7.3","13.39","1.13","1.61","3.95","0.50","1.81","2.59","26.1","39.3","61.9","63.01","16.9","26.1","9.2","5.88","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
